"id","earnings","occ","ability","age","region","female","education","exp"
1,1540.75,1,30,39,1,0,4,32
2,2282.25,3,71,34,1,0,8,25
3,3578.95,18,83,47,1,1,11,32
4,3023.5,21,50,45,2,0,7,37
5,4608.95,25,92,41,1,1,11,28
6,4164,34,62,46,4,0,8,34
7,3399.75,26,20,30,1,0,2,26
8,4324.95,22,99,43,3,1,15,22
9,3175.7,12,38,45,4,1,5,35
10,3681,22,52,46,2,0,5,38
11,3609,28,33,35,4,0,5,26
12,2109.5,8,38,42,4,0,6,33
13,4929.7,31,90,41,4,1,13,21
14,4917.25,42,81,33,3,0,11,15
15,4023.25,30,34,37,1,0,5,25
16,4329.7,34,63,41,4,1,11,23
17,3095.5,7,69,40,4,0,11,23
18,3050.7,14,72,32,4,1,7,23
19,3686,17,72,47,2,0,9,32
20,2640.5,13,56,38,2,0,9,27
21,3676.5,27,36,42,2,0,4,37
22,1456.75,2,24,33,1,0,3,26
23,3180.2,6,60,39,2,1,8,30
24,4489.75,42,71,41,3,0,7,32
25,4292.7,38,71,40,2,1,8,29
26,3993.95,31,57,38,1,1,9,28
27,2911.45,9,66,49,3,1,7,39
28,4610.5,48,22,47,4,0,3,37
29,2783.45,18,31,36,3,1,4,27
30,4255,44,24,39,2,0,4,30
31,3896.75,29,79,32,1,0,9,18
32,3302.75,8,62,33,1,0,10,20
33,5487.5,43,86,48,4,0,8,39
34,3883.45,21,96,43,1,1,14,27
35,4048.2,27,74,45,4,1,7,34
36,2779.95,19,31,38,1,1,4,28
37,3766.95,37,51,47,3,1,6,40
38,2918.75,12,65,45,1,0,9,30
39,4690.25,49,42,36,3,0,4,29
40,3137.2,10,74,48,2,1,8,38
41,4163.95,42,59,34,3,1,9,18
42,2888.95,8,33,43,1,1,5,36
43,4416.25,24,92,39,1,0,9,23
44,2982.25,18,72,33,3,0,9,23
45,3481.95,15,94,39,3,1,16,20
46,3053.45,12,42,44,1,1,5,35
47,4820.25,36,97,44,3,0,14,25
48,4058.5,45,29,42,4,0,5,33
49,3460.45,10,71,44,1,1,11,27
50,4676,43,67,30,4,0,11,14
51,4072.5,22,91,30,4,0,10,19
52,4619,46,23,34,4,0,3,30
53,4252.75,32,63,30,3,0,10,16
54,4595.95,37,80,35,3,1,10,22
55,4374.2,47,48,42,4,1,6,34
56,4313.75,28,72,41,1,0,9,30
57,4025.75,34,63,33,1,0,6,26
58,4929.75,47,91,37,1,0,13,18
59,4205.7,31,98,34,2,1,14,15
60,3922.5,16,96,44,2,0,16,27
61,4709.45,48,65,47,3,1,7,37
62,3311.45,21,54,38,3,1,7,29
63,4649.75,32,82,44,1,0,9,34
64,2216,8,28,45,4,0,3,38
65,2396.95,2,87,42,1,1,9,32
66,4887,49,69,33,2,0,9,20
67,2876.2,5,64,36,4,1,7,22
68,4942.95,35,84,34,1,1,8,22
69,4103.7,31,73,38,4,1,11,23
70,5000.5,33,94,48,2,0,10,33
71,3409.95,13,65,46,3,1,9,32
72,2647.5,7,68,33,4,0,7,23
73,3169.95,34,21,32,1,1,2,26
74,4856.75,36,96,35,1,0,15,14
75,3670.45,35,46,42,3,1,6,29
76,4416.2,42,42,44,2,1,5,38
77,3324.2,18,42,43,4,1,6,32
78,3868.45,11,81,49,1,1,13,33
79,3975.95,8,93,41,1,1,15,22
80,3604.2,29,38,49,4,1,5,38
81,3321.2,14,86,45,2,1,12,26
82,5363.7,48,94,35,4,1,11,19
83,5324.95,46,96,39,1,1,16,20
84,4241.2,48,35,47,4,1,5,36
85,2748.45,4,83,45,1,1,11,31
86,3992.2,27,54,39,4,1,6,32
87,4587.75,33,73,33,1,0,7,20
88,3535,14,61,42,4,0,7,30
89,3840.5,25,76,46,4,0,11,29
90,4120.2,26,65,34,2,1,11,16
91,4042.45,18,67,49,1,1,10,35
92,4094.25,35,82,38,1,0,9,27
93,4129,40,60,44,4,0,6,34
94,2564.7,13,43,47,2,1,5,35
95,4617.75,39,57,42,1,0,9,30
96,5248.5,43,97,36,2,0,15,15
97,2791.7,2,68,40,2,1,7,29
98,2518.7,3,44,33,4,1,7,21
99,4340,38,96,30,2,0,11,18
100,3702.45,27,52,34,3,1,5,25
101,5561.45,37,96,49,1,1,15,29
102,2863.2,9,37,44,2,1,5,38
103,3742.95,24,78,39,1,1,12,20
104,2405.25,20,23,35,1,0,3,25
105,3342.95,16,42,35,3,1,6,28
106,4012.45,18,84,33,1,1,9,19
107,4268.5,44,30,31,4,0,3,25
108,5234.7,41,70,43,4,1,11,27
109,4502.75,44,29,46,1,0,4,36
110,3393,40,20,34,2,0,2,30
111,3479.95,33,28,48,1,1,3,42
112,4560.45,30,70,44,1,1,11,29
113,2352,9,49,47,2,0,7,34
114,4836.75,29,82,45,1,0,11,32
115,4723.75,47,72,35,3,0,7,26
116,2998.95,20,25,44,1,1,4,38
117,5126.2,51,69,47,2,1,10,34
118,3168.75,18,50,30,3,0,7,20
119,3615.95,27,61,34,3,1,8,20
120,3587.75,15,89,35,3,0,14,20
121,4075,14,89,38,4,0,12,22
122,4781.25,29,99,43,1,0,14,25
123,4935.7,37,66,49,4,1,9,39
124,3240,8,86,37,4,0,13,18
125,3033.75,15,65,48,3,0,8,36
126,2758.75,17,37,46,3,0,4,40
127,3866.25,25,79,39,3,0,12,25
128,3171.7,9,70,49,2,1,7,35
129,5890,46,95,47,4,0,10,32
130,4107.5,28,50,39,2,0,5,33
131,2100.25,8,46,32,3,0,6,21
132,3630.25,10,80,38,1,0,14,23
133,3162.2,14,37,49,2,1,5,38
134,2987.2,23,34,35,4,1,4,28
135,3161.25,25,60,31,3,0,7,23
136,5668.5,47,97,33,4,0,13,13
137,4090.25,33,78,48,1,0,12,33
138,2459.95,3,44,34,1,1,6,22
139,2564.7,7,43,43,2,1,5,31
140,4725.25,45,85,34,3,0,14,13
141,3976.5,26,60,34,4,0,7,25
142,5116.2,31,95,49,2,1,12,30
143,5656,45,91,40,4,0,15,18
144,3550.7,22,60,36,4,1,7,27
145,3824.5,30,68,46,4,0,10,35
146,1959,8,26,46,4,0,3,42
147,4916.75,43,54,48,1,0,9,36
148,3202.5,6,94,48,4,0,12,33
149,4375.7,39,81,41,2,1,8,31
150,5080.75,48,89,49,1,0,9,34
151,4317.45,39,60,32,3,1,7,19
152,4537,47,22,32,2,0,2,28
153,3542.25,6,94,36,1,0,14,19
154,3820.25,8,89,49,3,0,15,31
155,2545.5,3,40,42,2,0,4,35
156,5040.95,49,41,31,3,1,6,20
157,3332.95,16,45,49,1,1,4,44
158,4480.5,31,84,31,4,0,14,15
159,4322.25,21,94,46,3,0,13,29
