,Month,Monthly CPI Cumulative Growth(city),Monthly CPI Cumulative Growth(country),Monthly CPI Cumulative Growth(rural),Monthly CPI MoM(city),Monthly CPI MoM(country),Monthly CPI MoM(rural),Monthly CPI YoY(city),Monthly CPI YoY(country),Monthly CPI YoY(rural),Monthly CPI(city),Monthly CPI(country),Monthly CPI(rural)
0,2019年12月份,102.8,102.9,103.2,0.0%,0.0%,-0.1%,4.2%,4.5%,5.3%,104.2,104.5,105.3
1,2019年11月份,102.7,102.8,103.0,0.3%,0.4%,0.5%,4.2%,4.5%,5.5%,104.2,104.5,105.5
2,2019年10月份,102.5,102.6,102.8,0.8%,0.9%,1.2%,3.5%,3.8%,4.6%,103.5,103.8,104.6
3,2019年09月份,102.4,102.5,102.6,0.7%,0.9%,1.3%,2.8%,3.0%,3.6%,102.8,103.0,103.6
4,2019年08月份,102.4,102.4,102.4,0.6%,0.7%,1.0%,2.8%,2.8%,3.1%,102.8,102.8,103.1
5,2019年07月份,102.3,102.3,102.3,0.4%,0.4%,0.3%,2.7%,2.8%,2.9%,102.7,102.8,102.9
6,2019年06月份,102.2,102.2,102.2,-0.1%,-0.1%,-0.2%,2.7%,2.7%,2.7%,102.7,102.7,102.7
7,2019年05月份,102.2,102.2,102.2,0.0%,0.0%,0.1%,2.7%,2.7%,2.8%,102.7,102.7,102.8
8,2019年04月份,102.0,102.0,102.0,0.1%,0.1%,0.1%,2.5%,2.5%,2.6%,102.5,102.5,102.6
9,2019年03月份,101.9,101.8,101.8,-0.4%,-0.4%,-0.3%,2.3%,2.3%,2.3%,102.3,102.3,102.3
10,2019年02月份,101.6,101.6,101.5,1.0%,1.0%,0.9%,1.5%,1.5%,1.4%,101.5,101.5,101.4
11,2019年01月份,101.8,101.7,101.7,0.5%,0.5%,0.4%,1.8%,1.7%,1.7%,101.8,101.7,101.7
12,2018年12月份,102.1,102.1,102.1,0.0%,0.0%,0.0%,1.9%,1.9%,1.9%,101.9,101.9,101.9
13,2018年11月份,102.1,102.1,102.1,-0.4%,-0.3%,-0.3%,2.2%,2.2%,2.2%,102.2,102.2,102.2
14,2018年10月份,102.1,102.1,102.1,0.2%,0.2%,0.2%,2.5%,2.5%,2.6%,102.5,102.5,102.6
15,2018年09月份,102.1,102.1,102.0,0.7%,0.7%,0.8%,2.4%,2.5%,2.5%,102.4,102.5,102.5
16,2018年08月份,102.0,102.0,102.0,0.6%,0.7%,0.8%,2.3%,2.3%,2.3%,102.3,102.3,102.3
17,2018年07月份,102.0,102.0,101.9,0.4%,0.3%,0.1%,2.1%,2.1%,2.0%,102.1,102.1,102.0
18,2018年06月份,102.0,102.0,101.9,0.0%,-0.1%,-0.1%,1.8%,1.9%,1.9%,101.8,101.9,101.9
